sentenceId,sentence,sentence_time
1,Reflecting on the challenges of the school year. Feeling a bit overwhelmed with assignments. ,2023-09-11 15:45:00
2," Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",2019-12-10 12:20:00
3,Calmness found in the rhythm of raindrops on the windowpane.   ,2017-11-08 21:20:00
4," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",2020-11-29 14:45:00
5,"Heart in ruins, the remnants of shattered dreams scattered in the wind. ",2022-01-08 11:30:00
6, Elation over discovering a hidden gem in the city.   ,2012-02-18 14:30:00
7," Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",2020-04-12 19:30:00
8, Rainy days call for cozy blankets and hot cocoa.   ,2023-01-16 14:45:00
9," Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. ",2021-06-10 10:00:00
10,Harmony resonates as musicians play a symphony of unity.           ,2019-11-30 19:30:00
11,"In the cricket championship, a nail-biting finish leaves fans on the edge of their seats, experiencing a rollercoaster of emotions. ",2019-06-25 22:15:00
12," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",2022-10-30 11:40:00
13, Arousal of excitement before a much-awaited trip.    ,2018-03-10 09:45:00
14,"A surprise gift, wrapped in anticipation, unfolds a moment of delight and wonder. ",2023-02-05 19:30:00
15, Enthusiasm for a creative project in the making.       ,2018-09-15 16:00:00
16," Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",2020-04-05 16:20:00
17,Got a flat tire on the way to an important meeting. Talk about a series of bad events! ,2023-09-23 14:15:00
18, Celebrating a friend's birthday tonight! 🎂       ,2023-01-28 19:30:00
19, Shame for not being true to my values in a difficult situation.,2023-03-03 12:00:00
20,"Shattered by the echoes of a shattered dream, fragments of hope scattered. ",2017-09-10 19:15:00
21, Pure happiness: celebrating a loved one's achievement! ,2023-02-13 10:00:00
22,Navigating through the challenges with determination.          ,2023-10-12 10:30:00
23," Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",2021-05-15 11:45:00
24,"Floating on clouds of gratitude, each raindrop a blessing, a shower of thankfulness. ",2016-12-10 21:15:00
25,"At the Olympics, the athlete's perseverance shines through, earning a gold medal and inspiring a generation with their remarkable achievement. ",2020-08-08 19:45:00
26, Celebrating a milestone at work! 🎉               ,2023-01-22 14:30:00
27,Rediscovered childhood cartoons and had a nostalgia-filled marathon. #CartoonNostalgia #TeenMemories ,2023-06-07 12:45:00
28,"Bitterness like a poison, seeping into every crevice of the wounded heart. ",2015-12-15 16:15:00
29,"Wandering through the cemetery of lost dreams, tombstones marking untold sorrows. ",2020-08-15 12:30:00
30,"Heartache deepens, a solitary journey through the abyss of despair. ",2022-08-18 22:00:00
31,"As the closing scene unfolds, a sense of satisfaction washes over, completing the cinematic journey with a profound and fulfilling ending. ",2020-09-10 19:45:00
32, The victory of our team brought euphoria to the city. ,2021-08-10 21:15:00
33, Sending love to all my followers on this beautiful day! ❤️ ,2023-02-23 08:30:00
34, Sunday bike ride through scenic trails.           ,2023-02-01 13:30:00
35,"Overflowing with joy, a cup of laughter shared with friends, a moment cherished. ",2023-03-10 14:30:00
36,Survived a group project without any drama. Miracles do happen. #GroupProjectSuccess #TeenAchievements ,2023-05-26 14:20:00
37,Spent an hour choosing the perfect filter for a selfie. The struggle for that Instagram aesthetic is real. #SelfieQueen #TeenVibes ,2023-05-22 14:30:00
38,Bonding with friends over the latest K-pop sensation. Fangirling at its finest! ,2023-08-09 22:30:00
39,"Joined a seniors' astronomy club, stargazing and finding wonder in the vastness of the cosmos. #AstronomyClub #SeniorStargazer ",2023-07-17 22:15:00
40,"Dancing under the stars at Beyoncé's live show, feeling the power of 'Single Ladies' in every move. ",2019-07-28 21:30:00
41,Happiness blooms like flowers in a garden on a sunny day.        ,2020-02-10 11:15:00
42,Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. ,2023-09-18 22:00:00
43, Attending a virtual conference on AI.              ,2023-01-20 11:30:00
44,"Streaming the latest web series, the viewer is engrossed in the characters' journey, feeling a sense of connection and empathy. ",2020-07-08 19:30:00
