sentenceId,sentence,sentence_time
1,người yêu mày cắt tóc hay là đi đầu thai lại thế ???,2025-06-06 03:23:47
2,coi mà cái tay nó rung trái tim nó đập sợ cái thằng đó té sấp mặt luôn thì không bình thường họa mi còn hót được không :)))),2023-01-20 02:21:59
3,nhiều khi cũng muốn người yêu chọc để dỗi phát cho bằng người ta . mà nhận ra mình làm gì có người yêu 😌,2021-09-07 10:13:47
4,con gái hiện giờ .. nấu kiểu này thì thôi xong ... cháy luôn cả nhà 😂,2023-07-09 04:04:12
5,ngày xưa mừn cũng hay thế lắm .,2024-12-03 15:24:01
6,biết bao khó khăn mới được vậy,2021-08-03 11:42:51
7,dume nghe kể mà đau cổ họng vãi :),2022-01-31 11:47:53
8,có ai luyện mới được như mình không dạ,2024-06-22 06:48:23
9,cũng chỉ là tạm thời . chỉ khi nào nguồn nước bẩn thôi đổ vào sông thì mới đảm bảo được .,2024-02-14 22:47:02
10,"mỏi lần làm phiền và sát hại bao nhiu con kiến , tôi không tu hành nhưng làm thế vì miếng ăn ác ôn quá ngon lành gì",2023-08-18 02:10:49
11,ước gì ba còn sống để làm điều đó với má . nhớ ba ❤️,2023-12-16 13:20:44
12,tao buồn mấy năm nay rồi,2025-01-24 04:42:47
13,uổng phí công sức bao người !,2024-05-19 15:19:34
14,"thôi , không tranh cãi , không lại các bác . nói chung không cấm thì đỗ , còn đỗ để làm gì thì do ý thức mỗi người",2024-10-28 08:56:19
15,ngoài ra thì nó còn bị mang tiếng là thả thính cả xã hội nữa,2022-01-12 01:07:56
16,chúc mày mau khoẻ nhá chủ thớt ạ =)),2022-10-05 04:17:02
17,đkmm xuống đáy biển mà viết luôn đi thằng lồn =)),2025-03-16 09:47:57
18,thân gửi mấy má bán combo quà độn xốp với mấy cha có ý định tặng 😂😂,2024-12-26 20:18:16
19,cụ bà đẹp lão quá cậu,2025-02-09 01:57:16
20,giỏi thật chứ đùa . biểu cảm gần như 90 % chuẩn mẹ rồi . thằng quay và edit cũng ghê luôn . nhảy cũng tốt ra phét chứ -.- ác thật,2025-01-02 15:42:22
21,chia buồn cùng người dân và đất nước pháp,2022-10-09 18:03:11
22,con thương ông quá,2024-12-23 21:09:43
23,đã xem 2 lần bộ phim này 😁,2025-01-28 03:43:24
24,m vừa tuột quần xuống nó sẽ hôn con họa mi của mày,2023-08-05 03:42:37
25,độc mà lần nào đi viện cũng bắt chụp 😭😭,2024-04-13 02:43:49
26,thật là một câu chuyện buồn 😌,2022-04-26 07:09:09
27,per huhuu không biết lúc đấy thực tập chưa :(((,2023-11-23 09:29:16
28,đéo có não à,2023-01-20 03:20:50
29,per mày mà bị như thế này chắc mày phải nhảy ra ngoài vũ trụ luôn nhỉ,2024-11-03 19:24:18
30,trông ô uế vãi,2022-09-21 13:34:46
31,"trong tất cả các con , con mèo là mất dạy nhất …",2024-03-25 14:04:50
32,độc nhất vô nhị . kkkk,2024-06-17 23:49:00
33,dume cứ chê đi đến lúc bố dậy thì lại mất công trầm trồ !!!,2023-05-12 22:54:22
34,cho nghe lại cái khúc đó đi anh hai à :v,2025-03-02 01:56:44
35,vì nó biết mày còn 2 quả thận thôi con ạ . rửa mặt đi :vậy,2022-11-26 10:04:58
36,dume mệt mỏi thật sự,2023-05-26 13:13:31
37,đáng yêu quá mức,2025-01-03 14:20:10
38,có tay mà người bị cụt tay . ko bao giờ sử dụng bàn tay đó . ngu trở lên nổi tiếng .,2024-04-18 23:47:56
39,t tưởng móc được mớ vụn ra là hết rồi . ai ngờ còn 2 cục đựu má chà bá,2023-06-05 20:32:31
40,"giá trị lịch sử văn hoá gần nghìn năm đã mất đi rồi :((""",2025-05-15 01:22:20
41,phải tao tao vứt luôn xe ??,2024-03-10 16:34:06
42,sản phẩm khá là mới lạ trong việt nam,2022-12-26 08:55:03
43,thật tình là rất xin lỗi anh ở trog video . hi vọng sẽ gặp đuợc anh để xin lỗi và tạ tội với anh . thật ra hộp quà trong video là của con lol per với người yêu nó tặng nhau dịp sinh nhật . híccc,2023-06-19 11:04:33
44,lại được làm thêm quả nhà nữa . ngon,2023-02-27 05:58:00
45,"xem mà đau lòng , đau lòng nhưng vẫn xem :((((",2022-09-03 18:42:49
46,dễ thương quá hà,2023-07-15 03:44:15
47,người ta dùng con kiến bống . loại có chất axit có vị chua . chứ đéo ai dùng loại kiến đen cứt trâu này .,2022-09-28 08:54:07
48,"per thì mấy ông nhậu bắt sạch , còn đâu mà phá hoại",2022-12-12 12:26:30
49,quá nguy hiểm,2024-05-15 11:56:34
50,"ngta tạo nên video để giáo dục mấy ba ơi , mấy ba mấy má làm quá",2023-04-18 13:36:54
51,thì đã sao ? miếng cơm nghề nghiệp người ta . nếu như không thích quay thì lên đòi ban tổ chức ấy hoặc đừng có mà chơi bóng chứ đâu ra cái kiểu bố đời ấy,2021-08-31 05:03:22
52,tử hình cái bọn giết người hàng loạt này đi,2021-08-07 00:45:52
53,cô ấy còn không thèm coi tin nhắn của tao :((,2023-06-20 11:28:31
54,"làm pv quán karaoke đi rồi khổ hơn nữa , toilet danh cho nam chỉ đứng tè , vậy mà nỡ lòng nào mấy anh ngồi ỉa 😢 thiệt chứ gặp cái mún khóc lun …",2022-07-06 01:59:52
55,mỗi lần quyết tâm bỏ mà lại thấy cười . đm đời,2022-05-22 21:37:00
56,để được maiz ngắm nhìn nụ cười đó nên quyết định chỉ crush mà thôi :3,2021-12-01 02:32:23
57,thôi nhà đang yên ổn,2022-01-19 09:09:31
58,công nhận già thật,2022-08-14 16:17:02
59,hỏi nhiều nó lại cho vào đối tượng truy nã 😏,2024-01-22 03:12:32
60,còn nhiều người khổ hơn mình :)),2021-08-20 03:46:39
61,ê có khi nào đọc bài này xong buồn cười quá cười toác hàm có khi nào đi bệnh viện không các cụ :v,2025-05-07 10:13:19
62,mẹ chồng cay nghiệt =))))),2024-09-07 22:34:54
63,dhs nhìn thằng đầu tiên trông ớn vãi :| chị em bg thích style lạ ghê ta :| bá khí ????,2021-12-29 19:27:29
