sentenceId,sentence,sentence_time
1,tuy dáng đứng có hơi lỏng lẻo nhưng những đường quyền của ông này thật như lol,2022-04-18 21:20:55
2,đụ con đĩ mẹ hôm nọ đang ngủ thằng lol nào hét ầm ầm . mày về nà hét cha hét mẹ mày chớ ngủ không yên,2025-05-17 08:25:35
3,quan trọng vẫn là cái phải đẹp trai . rồi mới sau đó nữa ... lạ gì các bà,2022-06-06 01:46:55
4,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,2021-12-19 17:41:38
5,"mới đây thôi mà đa 3 năm rồi , những ngày chia tay buồn đó :((",2022-06-29 00:38:07
6,ngựa ngựa ghi tay trái đồ :)),2024-11-03 09:13:50
7,móe . con nhện . cười đau cả ruột .,2022-09-21 10:42:19
8,phòng gì vậy .,2023-10-11 15:01:30
9,đi cho vui chứ chả mua sắm gì :)))) người every where,2022-03-17 18:11:59
10,đời tao ghét con súc sinh này vãi .. nhiều khi tao tự vấn tao làm gì sai mà mỗi lần tao đi qua nó là y như rằng tao phải chạy như chó chứ không thể nào hiên ngang đi 1 cách như người bình thường,2024-11-02 15:25:17
11,chủ tịch đi nặn mụn ở tai và cái kết khóc thét,2025-02-06 20:21:25
12,do chính sách quản lý yếu kém mới ra vậy đó,2024-06-14 00:28:57
13,"đấm liên tục vào mồm , không trượt phát nào ...",2021-08-08 22:38:32
14,per không biết còn nhớ tên tao không nữa 😑,2023-02-26 17:58:11
15,lời được cánh của sắt tàu hỏa ngon rồi,2024-07-20 02:56:29
16,lại là bà hàng xóm 😒,2025-01-10 22:18:55
17,vãi chả phơi hết tim gan phèo phổi @@,2024-09-28 13:39:24
18,hahahaha tao mắc cười ghê . nhớ cái hôm sinh nhật tao ghê . chắc mấy mẹ ở guru cũng rủa dữ lắm hahaha per,2024-02-24 00:48:02
19,thành công là cách trả thù xã hội ngọt ngào nhất . đừng vì họ nói mà yếu lòng,2024-04-01 07:04:12
20,t thề hồi nhỏ qua nhà ông hàng xóm vá xe tao bị con ngỗng dí chạy xúc quần quanh nhà ổng vừa chạy vừa la làng tới giờ nhớ lại vẫn còn hãi 😧😧😧,2024-06-05 02:16:35
21,nhện này trong nhà tao chắc tao bỏ nhà đi mất 😱🤯,2024-03-22 08:54:53
22,các bạn đéo biết được đâu vì các bạn đbh gặp thì lsao các bạn biết được mấy con mụ già đi mất dạy như thế nào . đm cậy mình già là muốn đi thế đéo nào cũng được ý . đi sai xong chửi người ta mới vãi chứ dume có ngày đâm vào người ta chết có ngày ở đấy mà già mồm . cứ kêu người ta lớn tuổi hơn phải thế này tno nhưng có lớn mà đéo có học thì cũng đéo là cái gì,2022-12-01 10:15:55
23,chắc gái xấu :p,2024-10-03 11:11:37
24,cai nay do co roi . ai con ban nua không,2023-07-12 19:22:42
25,dễ thương mà,2022-05-24 05:37:25
26,cưng hết phần thiên hạ,2021-09-28 09:29:14
27,"per nuôi móng đi anh , mai mốt cắt đem vô triển lãm",2024-12-02 19:13:05
28,:))) mặt ngáo vậy mà còn lạ lẫm gì,2024-04-29 06:31:31
29,yêu chết đi được .,2021-07-06 20:02:30
30,chưa có cơ hội nói cảm ơn và xin lỗi . vì chúng ta xứng đáng được bình yên,2024-05-11 02:22:17
31,câu chuyện lấy đi nước mắt của tao,2024-10-23 18:48:42
32,vẫn xinh phết nhỉ ??,2025-01-03 04:18:12
33,tha cho cô chú đó đi,2022-03-22 13:12:50
34,per phá gia chi tử chính nó ????,2024-06-08 13:54:27
35,thời xưa yêu nhau đến chết vẫn yêu ... thời nay yêu không biết chết lúc nào 🤣 cuộc sống nay đáng sợ lắm 🤪,2021-07-19 13:21:46
36,vl :)) còn đút tay túi áo ??,2021-09-27 00:17:59
37,vậy nên phải lịch sự và thổ con mẹ nó lộ với cả đống người chúc mừng mày thành trò cười thiên hạ,2021-11-30 14:09:26
38,chiều mưa hứa tự sẽ tự đi mua đôi giầy mới 😂,2022-07-21 13:44:09
